3mm縦,3mm横,6mm縦,6mm横
6.906251675,5.561646906,30.48623598,28.80940894
6.750678576,6.216832595,30.39718044,29.34422954
6.904789751,6.752262328,31.58414105,31.22962443
5.911777749,5.484286752,28.7478863,29.41147805
6.366923478,6.590476051,30.51413437,31.36290319
5.523149569,7.162697543,29.05562134,32.09946932
5.663616118,6.136183111,28.87348995,30.630601
5.301789883,6.158111974,29.04831172,29.13553986
6.042376309,6.764932337,30.66568718,31.2154925
